City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Ngunguru,NZ,-35.6167,174.5,60.17,94,100,32.5,moderate rain
80,Grand Forks,US,47.9417,-97.4337,85.93,20,1,19.57,clear sky
81,Laguna,US,38.421,-121.4238,95.45,29,1,7.0,clear sky
82,Port Hardy,CA,50.6996,-127.4199,54.21,66,99,10.49,overcast clouds
83,Bengkulu,ID,-3.8004,102.2655,73.62,89,29,3.78,scattered clouds
84,Hilo,US,19.7297,-155.09,84.27,72,90,13.8,light rain
85,Dali,CN,25.7,100.1833,61.57,91,55,3.8,broken clouds
86,Abu Samrah,SY,35.3029,37.1841,67.3,42,0,7.47,clear sky
87,Beloha,MG,-25.1667,45.05,61.3,79,20,12.19,few clouds
88,Calama,CL,-22.4667,-68.9333,59.49,7,20,11.5,few clouds
89,Milkovo,RU,54.7167,158.6167,42.87,87,100,1.61,light rain
90,Padang,ID,-0.9492,100.3543,75.56,79,79,3.87,broken clouds
91,Oktyabrskiy,RU,54.4815,53.471,54.16,78,4,1.77,clear sky
92,Copiapo,CL,-27.3667,-70.3333,53.29,58,0,3.83,clear sky
93,Kyshtovka,RU,56.555,76.6271,57.45,78,64,9.44,broken clouds
94,Mahebourg,MU,-20.4081,57.7,75.49,78,40,9.22,light rain
95,Xiaoyi,CN,34.6178,109.703,82.54,33,99,2.26,overcast clouds
96,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,69,90,9.22,overcast clouds
97,Xiamen,CN,24.4798,118.0819,75.25,69,75,2.24,broken clouds
98,Nalut,LY,30.3333,10.85,88.63,11,38,16.78,scattered clouds
99,Kahului,US,20.8947,-156.47,86.02,64,20,26.46,few clouds
100,Bethel,US,41.3712,-73.414,92.34,51,1,9.22,clear sky
101,Lagoa,PT,39.05,-27.9833,63.88,89,100,12.59,overcast clouds
102,Salalah,OM,17.0151,54.0924,84.29,89,75,8.05,broken clouds
103,Josanicka Banja,RS,43.3895,20.7503,56.73,98,100,2.8,overcast clouds
104,Severo-Kurilsk,RU,50.6789,156.125,42.64,94,100,10.29,overcast clouds
105,Thompson,CA,55.7435,-97.8558,60.96,77,90,10.36,overcast clouds
106,Avarua,CK,-21.2078,-159.775,75.25,60,75,5.75,broken clouds
107,Lavrentiya,RU,65.5833,-171.0,34.61,92,100,3.6,light rain
108,Sola,VU,-13.8833,167.55,77.67,94,90,5.75,overcast clouds
109,Hithadhoo,MV,-0.6,73.0833,82.65,73,9,12.03,clear sky
110,Iberia,US,29.9502,-91.7507,85.96,83,90,12.84,overcast clouds
111,Chuy,UY,-33.6971,-53.4616,50.77,79,98,5.32,overcast clouds
112,Butaritari,KI,3.0707,172.7902,82.4,73,13,7.96,light rain
113,Byron Bay,AU,-28.65,153.6167,62.06,84,13,6.44,few clouds
114,Koumac,NC,-20.5667,164.2833,72.54,56,85,11.9,overcast clouds
115,Beringovskiy,RU,63.05,179.3167,34.97,98,100,4.29,light rain
116,Rocha,UY,-34.4833,-54.3333,46.89,89,33,3.83,scattered clouds
117,Yulara,AU,-25.2406,130.9889,39.04,75,31,5.75,scattered clouds
118,Necochea,AR,-38.5473,-58.7368,48.04,56,100,6.85,overcast clouds
119,Gigmoto,PH,13.7796,124.39,80.82,81,100,2.35,overcast clouds
120,Victoria,HK,22.2855,114.1577,82.38,84,41,1.99,scattered clouds
121,Carnarvon,AU,-24.8667,113.6333,60.87,67,90,9.22,overcast clouds
122,Vaini,TO,-21.2,-175.2,77.16,78,75,13.8,broken clouds
123,Buraydah,SA,26.326,43.975,93.65,11,5,11.61,clear sky
124,Avera,US,33.194,-82.5271,89.47,88,100,5.77,overcast clouds
125,Oranjemund,NA,-28.55,16.4333,66.83,33,0,7.92,clear sky
126,Broome,US,42.2506,-75.833,88.56,48,40,1.99,scattered clouds
127,Dewa,IN,27.0333,81.1667,84.2,31,9,2.62,clear sky
128,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,17.27,scattered clouds
129,Iqaluit,CA,63.7506,-68.5145,33.53,86,75,5.99,broken clouds
130,Drayton Valley,CA,53.2168,-114.9854,59.92,41,100,5.41,overcast clouds
131,Kavaratti,IN,10.5669,72.642,82.36,77,100,11.54,overcast clouds
132,Roald,NO,62.5833,6.1333,57.16,93,20,0.0,few clouds
