City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tukan,RU,2021-06-06 16:51:02,53.8409,57.4552,52.63,75,36,1.45
68,New Norfolk,AU,2021-06-06 16:51:02,-42.7826,147.0587,50.76,86,100,1.01
69,East London,ZA,2021-06-06 16:51:03,-33.0153,27.9116,63.54,51,0,6.91
70,Labuan,MY,2021-06-06 16:51:03,5.2767,115.2417,80.96,94,20,0.0
71,Hithadhoo,MV,2021-06-06 16:51:04,-0.6,73.0833,83.44,71,86,12.35
72,El Alto,PE,2021-06-06 16:51:04,-4.2714,-81.2147,73.06,70,99,14.92
73,Ponta Delgada,PT,2021-06-06 16:51:04,37.7333,-25.6667,68.72,77,40,14.97
74,Aksarka,RU,2021-06-06 16:51:05,66.5606,67.7975,40.59,52,71,9.93
75,Isangel,VU,2021-06-06 16:51:05,-19.55,169.2667,71.47,67,86,12.57
76,Puerto Quijarro,BO,2021-06-06 16:51:06,-17.7833,-57.7667,96.58,25,52,6.29
77,Chokurdakh,RU,2021-06-06 16:51:06,70.6333,147.9167,34.63,87,100,7.7
78,Kenai,US,2021-06-06 16:51:06,60.5544,-151.2583,55.49,66,1,4.61
79,Bunia,CD,2021-06-06 16:51:07,1.5667,30.25,64.4,95,77,5.59
80,Khatanga,RU,2021-06-06 16:51:07,71.9667,102.5,32.95,88,98,4.92
81,Port-Gentil,GA,2021-06-06 16:51:07,-0.7193,8.7815,82.36,78,40,12.66
82,Jamestown,US,2021-06-06 16:51:08,42.097,-79.2353,84.29,48,1,5.01
83,Hobart,AU,2021-06-06 16:51:08,-42.8794,147.3294,51.12,89,99,7.81
84,Saint George,US,2021-06-06 16:49:42,37.1041,-113.5841,95.79,13,1,1.99
85,Yumen,CN,2021-06-06 16:51:08,40.2833,97.2,65.64,27,12,9.46
86,Raga,SS,2021-06-06 16:51:09,8.4596,25.678,77.09,71,69,3.36
87,Ilulissat,GL,2021-06-06 16:51:09,69.2167,-51.1,40.64,71,52,4.59
88,Mar Del Plata,AR,2021-06-06 16:47:47,-38.0023,-57.5575,57.99,62,20,1.99
89,Guerrero Negro,MX,2021-06-06 16:51:10,27.9769,-114.0611,69.87,59,70,7.07
90,Temecula,US,2021-06-06 16:49:22,33.4936,-117.1484,75.63,68,90,4.0
91,Chuy,UY,2021-06-06 16:50:02,-33.6971,-53.4616,58.3,62,100,7.36
92,Codrington,AU,2021-06-06 16:51:11,-38.2667,141.9667,55.9,70,100,17.36
93,Kapaa,US,2021-06-06 16:49:50,22.0752,-159.319,76.12,82,75,1.99
94,Pimentel,PE,2021-06-06 16:51:11,-6.8367,-79.9342,70.09,83,90,1.99
95,Hermanus,ZA,2021-06-06 16:51:12,-34.4187,19.2345,64.44,47,8,8.63
96,Camocim,BR,2021-06-06 16:51:12,-2.9022,-40.8411,87.75,55,15,4.7
97,Saskylakh,RU,2021-06-06 16:51:12,71.9167,114.0833,36.66,69,97,5.1
98,Geraldton,AU,2021-06-06 16:51:13,-28.7667,114.6,53.13,87,80,11.01
99,Mataura,NZ,2021-06-06 16:51:13,-46.1927,168.8643,42.55,90,95,2.46
100,Romitan,UZ,2021-06-06 16:51:14,39.9343,64.3814,94.95,24,0,8.52
101,Beringovskiy,RU,2021-06-06 16:51:14,63.05,179.3167,35.76,98,100,5.17
102,Barrow,US,2021-06-06 16:51:14,71.2906,-156.7887,30.22,93,90,13.8
103,Sur,OM,2021-06-06 16:51:15,22.5667,59.5289,85.71,75,0,14.23
104,Alofi,NU,2021-06-06 16:51:15,-19.0595,-169.9187,62.49,94,87,1.14
105,Thompson,CA,2021-06-06 16:51:15,55.7435,-97.8558,57.36,88,90,0.0
